Note,Velocity
42,34
42,28
42,42
42,36
42,30
42,44
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
42,48
42,36
42,30
42,42
42,38
42,32
42,46
42,40
42,34
