Note,Velocity
36,56
42,30
42,38
38,48
42,30
42,38
36,56
42,30
42,38
38,48
42,30
42,38
36,52
42,30
42,36
38,50
42,30
42,36
36,56
42,30
42,36
38,46
42,30
42,36
36,56
42,30
42,38
38,48
42,30
42,38
36,56
42,30
42,38
38,48
42,30
42,38
36,56
42,34
42,28
38,46
42,34
42,28
36,02
42,34
42,28
38,44
42,34
42,28
36,56
42,40
42,32
38,54
42,40
42,32
36,60
42,40
42,32
38,50
42,40
42,32
36,52
42,36
42,30
38,48
42,36
42,30
36,56
42,36
42,30
38,48
42,36
42,30
36,56
42,34
42,28
38,46
42,34
42,28
36,02
42,34
42,28
38,44
42,34
42,28
36,50
42,38
42,30
38,50
42,38
42,30
36,54
42,38
42,30
38,50
42,38
42,30
36,56
42,30
42,38
38,48
42,30
42,38
36,56
42,30
42,38
38,48
42,30
42,38
36,52
42,34
42,28
38,46
42,34
42,28
36,02
42,34
42,28
38,44
42,34
42,28
36,56
42,40
42,34
38,54
42,40
42,34
36,60
42,40
42,34
38,52
42,40
42,34
36,60
42,40
42,34
38,60
42,40
42,34
36,64
42,40
42,34
38,56
42,40
42,34
49,36
